Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,366.299988,371.100006,365.850006,368.899994,326.225464,24572563
2016-06-14,367.000000,370.252991,357.700012,358.200012,316.763275,44816138
2016-06-15,359.549988,362.500000,356.850006,359.500000,317.912842,39966253
2016-06-16,364.000000,368.119995,359.899994,364.850006,322.644012,46714388
2016-06-17,368.899994,375.820007,364.850006,373.149994,329.983826,61271837
2016-06-20,377.549988,383.049988,376.200012,378.950012,335.112885,37551323
2016-06-21,376.700012,384.750000,374.700012,382.299988,338.075317,32139120
2016-06-22,384.750000,388.200012,382.250000,383.399994,339.048096,34605558
2016-06-23,385.000000,389.350006,381.649994,386.950012,342.187439,27238495
2016-06-24,363.000000,399.000000,355.000000,393.649994,348.112396,93027779
2016-06-27,393.700012,401.549988,391.799988,394.950012,349.261963,60909185
2016-06-28,401.100006,407.549988,385.000000,404.450012,357.663055,44795047
2016-06-29,410.000000,424.799988,409.294006,424.799988,375.658936,52670632
2016-06-30,425.049988,438.149994,421.850006,438.149994,387.464569,55619872
2016-07-01,441.000000,445.850006,437.010010,445.399994,393.875916,46240132
2016-07-04,447.250000,450.000000,443.873993,446.799988,395.113953,25432002
2016-07-05,446.000000,453.799988,440.100006,453.549988,401.083099,48388415
2016-07-06,452.850006,459.149994,442.049988,449.399994,397.413177,52539211
2016-07-07,451.549988,458.549988,451.399994,453.299988,400.862061,36150371
2016-07-08,454.299988,458.049988,445.799988,457.000000,404.134033,35208674
2016-07-11,459.850006,460.000000,453.799988,459.000000,405.902679,29926569
2016-07-12,456.799988,463.783997,453.000000,461.799988,408.378723,40366727
2016-07-13,459.250000,464.399994,455.700012,455.700012,402.984406,42243480
2016-07-14,460.000000,463.399994,454.649994,454.649994,402.055878,34110368
2016-07-15,452.000000,457.149994,450.674988,457.149994,404.266632,32141002
2016-07-18,455.850006,456.399994,449.299988,449.299988,397.324768,22564452
2016-07-19,447.399994,453.850006,445.649994,452.799988,400.419861,19879037
2016-07-20,455.000000,455.450012,447.299988,451.200012,399.004974,19764929
2016-07-21,451.000000,452.600006,448.000000,450.799988,398.651215,21672581
2016-07-22,448.700012,453.000000,446.863007,452.100006,399.800812,20125348
2016-07-25,451.450012,453.600006,439.149994,440.350006,389.410126,28603025
2016-07-26,430.000000,438.000000,426.204987,434.600006,384.325226,43562275
2016-07-27,435.500000,442.149994,429.200012,434.049988,383.838867,28561549
2016-07-28,437.250000,437.500000,426.649994,426.649994,377.294922,47034065
2016-07-29,426.500000,428.100006,421.600006,426.850006,377.471771,34486588
2016-08-01,431.799988,433.100006,418.350006,418.350006,369.955078,37884762
